City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
647,Tibagon,PH,85.95,overcast clouds,7.2327,125.8628,CM's Haven
650,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
651,Matara,LK,82.18,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
659,Menongue,AO,76.6,overcast clouds,-14.6585,17.691,Ritz Lauca
660,Umm Lajj,SA,87.71,clear sky,25.0213,37.2685,Moon light Furnished Units
661,Buta,CD,81.01,broken clouds,2.7858,24.73,Hôtel BOPANDO
662,Udayagiri,IN,77.77,broken clouds,20.1333,84.3833,Hotel Disha
664,Birjand,IR,79.77,clear sky,32.8663,59.2211,Birjand Tourist Hotel
675,La Asuncion,VE,78.93,light rain,11.0333,-63.8628,Colinas de Matasiete
679,Karratha,AU,85.69,clear sky,-20.7377,116.8463,ibis Styles Karratha
685,Porto Novo,BJ,81.48,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
692,Braganca,BR,75.27,broken clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
693,Phalaborwa,ZA,79.16,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
